surrogate,seed,epoch,train_loss,train_acc,test_loss,test_acc
sigmoid,2024,4,0.047284695509076116,98.45,0.08499225471168756,97.38
sigmoid,2024,5,0.03936658796668053,98.70333333333333,0.08505101483315229,97.36
sigmoid,2025,1,0.24022983435789744,92.88166666666666,0.11109492853283882,96.61
sigmoid,2025,2,0.09067722474733989,97.17166666666667,0.08833643272519112,97.21
sigmoid,2025,3,0.06356386377016704,98.00833333333334,0.08763684518635273,97.26
sigmoid,2025,4,0.04865133857230346,98.44,0.096792352758348,97.16
sigmoid,2025,5,0.0423237677877148,98.61833333333334,0.0735746200196445,97.88
sigmoid,2026,1,0.24148598759969075,92.82,0.12011004947125911,96.24
sigmoid,2026,2,0.09223555141687394,97.20666666666666,0.09342081658542156,97.1
sigmoid,2026,3,0.06442660449941953,97.96333333333334,0.08159623090177774,97.48
sigmoid,2026,4,0.04731975948413213,98.45333333333333,0.08816439863294363,97.31
sigmoid,2026,5,0.04279155880411466,98.625,0.09703778121620417,97.07
triangular,2024,1,0.23947024343808493,93.07166666666667,0.10930350013077259,96.71
triangular,2024,2,0.09671209913492203,97.02,0.09989023990929127,96.81
triangular,2024,3,0.07496183194319407,97.65166666666667,0.08899984359741211,97.25
triangular,2024,4,0.059506685639421145,98.125,0.08349081948399543,97.39
triangular,2024,5,0.05459577787518501,98.27166666666666,0.08784721903502941,97.37
triangular,2025,1,0.23761828546126684,93.08,0.11583384163677693,96.45
triangular,2025,2,0.0988936262011528,96.93833333333333,0.09409080389887095,96.93
triangular,2025,3,0.07503947950005531,97.71166666666667,0.08618799820542336,97.33
triangular,2025,4,0.06365022237698237,97.955,0.12537578418850898,96.28
triangular,2025,5,0.05692428411245346,98.13333333333334,0.08124141739681363,97.47
triangular,2026,1,0.2402046816031138,93.005,0.1194530799984932,96.24
triangular,2026,2,0.09686130635738373,96.985,0.11072717979550362,96.42
triangular,2026,3,0.07384037911097209,97.70166666666667,0.08623703066259622,97.17
triangular,2026,4,0.06230048895478248,98.05333333333333,0.0847797553986311,97.41
triangular,2026,5,0.054539786800742146,98.19333333333333,0.10774046182632446,96.71
